time,station_id,part_id,activity,
2023-01-30T18:55:11Z,S2,P1016,EXIT,
2023-01-30T18:55:42Z,S3,P1015,EXIT,
2023-01-30T18:55:42Z,S3,P1016,ENTER,
2023-01-30T18:55:56Z,S1,P1017,EXIT,
2023-01-30T18:55:56Z,S1,P1018,ENTER,
2023-01-30T18:55:59Z,S4,P1014,EXIT,
2023-01-30T18:55:59Z,S4,P1015,ENTER,
2023-01-30T18:56:07Z,S2,P1017,ENTER,
2023-01-30T18:56:08Z,S3,P1016,EXIT,
2023-01-30T18:56:24Z,S1,P1018,EXIT,
2023-01-30T18:56:24Z,S1,P1019,ENTER,
2023-01-30T18:56:33Z,S2,P1018,ENTER,
2023-01-30T18:57:28Z,S1,P1019,EXIT,
2023-01-30T18:57:28Z,S1,P1020,ENTER,
2023-01-30T18:58:06Z,S2,P1017,EXIT,
2023-01-30T18:58:06Z,S2,P1019,ENTER,
2023-01-30T18:58:18Z,S3,P1017,ENTER,
2023-01-30T18:58:32Z,S1,P1020,EXIT,
2023-01-30T18:58:51Z,S3,P1017,EXIT,
2023-01-30T18:58:57Z,S4,P1015,EXIT,
2023-01-30T18:58:57Z,S1,P1021,ENTER,
2023-01-30T18:58:57Z,S4,P1016,ENTER,
2023-01-30T18:59:03Z,S2,P1018,EXIT,
2023-01-30T18:59:03Z,S2,P1020,ENTER,
2023-01-30T18:59:11Z,S3,P1018,ENTER,
2023-01-30T18:59:43Z,S1,P1021,EXIT,
2023-01-30T19:00:02Z,S4,P1016,EXIT,
2023-01-30T19:00:02Z,S1,P1022,ENTER,
2023-01-30T19:00:02Z,S4,P1017,ENTER,
2023-01-30T19:00:11Z,S3,P1018,EXIT,
2023-01-30T19:00:37Z,S1,P1022,EXIT,
2023-01-30T19:00:49Z,S4,P1017,EXIT,
2023-01-30T19:00:49Z,S1,P1023,ENTER,
2023-01-30T19:00:49Z,S4,P1018,ENTER,
2023-01-30T19:00:56Z,S2,P1019,EXIT,
2023-01-30T19:00:56Z,S2,P1021,ENTER,
2023-01-30T19:01:04Z,S3,P1019,ENTER,
2023-01-30T19:01:26Z,S1,P1023,EXIT,
2023-01-30T19:01:49Z,S2,P1020,EXIT,
2023-01-30T19:01:49Z,S2,P1022,ENTER,
2023-01-30T19:02:50Z,S3,P1019,EXIT,
2023-01-30T19:02:50Z,S3,P1020,ENTER,
2023-01-30T19:03:11Z,S2,P1022,EXIT,
2023-01-30T19:03:11Z,S2,P1023,ENTER,
2023-01-30T19:03:12Z,S2,P1021,EXIT,
2023-01-30T19:03:47Z,S3,P1020,EXIT,
2023-01-30T19:03:47Z,S3,P1022,ENTER,
2023-01-30T19:03:54Z,S4,P1018,EXIT,
2023-01-30T19:03:54Z,S1,P1024,ENTER,
2023-01-30T19:03:54Z,S4,P1019,ENTER,
2023-01-30T19:05:01Z,S1,P1024,EXIT,
2023-01-30T19:05:06Z,S3,P1022,EXIT,
2023-01-30T19:05:06Z,S3,P1021,ENTER,
2023-01-30T19:05:14Z,S2,P1024,ENTER,
2023-01-30T19:05:53Z,S4,P1019,EXIT,
2023-01-30T19:05:53Z,S1,P1025,ENTER,
2023-01-30T19:05:53Z,S4,P1020,ENTER,
2023-01-30T19:06:06Z,S1,P1025,EXIT,
2023-01-30T19:06:11Z,S3,P1021,EXIT,
2023-01-30T19:06:39Z,S2,P1023,EXIT,
2023-01-30T19:06:39Z,S2,P1025,ENTER,
2023-01-30T19:06:45Z,S3,P1023,ENTER,
2023-01-30T19:07:38Z,S4,P1020,EXIT,
2023-01-30T19:07:38Z,S1,P1026,ENTER,
2023-01-30T19:07:38Z,S4,P1022,ENTER,
2023-01-30T19:07:41Z,S3,P1023,EXIT,
2023-01-30T19:07:51Z,S1,P1026,EXIT,
2023-01-30T19:08:20Z,S2,P1025,EXIT,
2023-01-30T19:08:20Z,S2,P1026,ENTER,
2023-01-30T19:08:21Z,S2,P1024,EXIT,
2023-01-30T19:08:31Z,S3,P1024,ENTER,
2023-01-30T19:09:16Z,S4,P1022,EXIT,
2023-01-30T19:09:16Z,S1,P1027,ENTER,
2023-01-30T19:09:16Z,S4,P1021,ENTER,
2023-01-30T19:10:33Z,S4,P1021,EXIT,
2023-01-30T19:10:33Z,S4,P1023,ENTER,
2023-01-30T19:10:57Z,S1,P1027,EXIT,
2023-01-30T19:10:57Z,S1,P1028,ENTER,
2023-01-30T19:11:02Z,S3,P1024,EXIT,
2023-01-30T19:11:02Z,S3,P1025,ENTER,
2023-01-30T19:11:06Z,S2,P1026,EXIT,
2023-01-30T19:11:09Z,S2,P1027,ENTER,
2023-01-30T19:11:41Z,S1,P1028,EXIT,
2023-01-30T19:11:52Z,S2,P1028,ENTER,
2023-01-30T19:11:59Z,S4,P1023,EXIT,
2023-01-30T19:11:59Z,S1,P1029,ENTER,
2023-01-30T19:11:59Z,S4,P1024,ENTER,
2023-01-30T19:13:18Z,S2,P1028,EXIT,
2023-01-30T19:13:19Z,S3,P1025,EXIT,
2023-01-30T19:13:19Z,S3,P1026,ENTER,
2023-01-30T19:13:32Z,S1,P1029,EXIT,
2023-01-30T19:13:33Z,S4,P1024,EXIT,
2023-01-30T19:13:33Z,S1,P1030,ENTER,
2023-01-30T19:13:33Z,S4,P1025,ENTER,
2023-01-30T19:13:39Z,S2,P1029,ENTER,
2023-01-30T19:13:46Z,S3,P1026,EXIT,
2023-01-30T19:13:46Z,S3,P1028,ENTER,
2023-01-30T19:13:54Z,S2,P1027,EXIT,
2023-01-30T19:14:10Z,S4,P1025,EXIT,
2023-01-30T19:14:10Z,S4,P1026,ENTER,
2023-01-30T19:14:18Z,S1,P1030,EXIT,
2023-01-30T19:14:18Z,S1,P1031,ENTER,
2023-01-30T19:14:27Z,S2,P1030,ENTER,
2023-01-30T19:14:29Z,S1,P1031,EXIT,
2023-01-30T19:15:12Z,S2,P1030,EXIT,
2023-01-30T19:15:12Z,S2,P1031,ENTER,
2023-01-30T19:15:20Z,S3,P1028,EXIT,
2023-01-30T19:15:20Z,S3,P1027,ENTER,
2023-01-30T19:15:45Z,S2,P1029,EXIT,
2023-01-30T19:15:50Z,S3,P1027,EXIT,
2023-01-30T19:15:50Z,S3,P1030,ENTER,
2023-01-30T19:16:46Z,S4,P1026,EXIT,
2023-01-30T19:16:46Z,S1,P1032,ENTER,
2023-01-30T19:16:46Z,S4,P1028,ENTER,
2023-01-30T19:17:07Z,S3,P1030,EXIT,
2023-01-30T19:17:07Z,S3,P1029,ENTER,
2023-01-30T19:17:51Z,S4,P1028,EXIT,
2023-01-30T19:17:51Z,S4,P1027,ENTER,
