time,station_id,part_id,activity,
2023-01-29T12:57:09Z,S4,P9,ENTER,
2023-01-29T12:57:13Z,S2,P7,EXIT,
2023-01-29T12:57:13Z,S2,P6,ENTER,
2023-01-29T12:57:37Z,S3,P11,EXIT,
2023-01-29T12:57:37Z,S3,P13,ENTER,
2023-01-29T12:58:17Z,S2,P6,EXIT,
2023-01-29T12:58:17Z,S2,P14,ENTER,
2023-01-29T12:58:18Z,S4,P9,EXIT,
2023-01-29T12:58:18Z,S1,P17,ENTER,
2023-01-29T12:58:18Z,S4,P7,ENTER,
2023-01-29T12:59:27Z,S1,P16,EXIT,
2023-01-29T12:59:39Z,S1,P17,EXIT,
2023-01-29T12:59:55Z,S2,P14,EXIT,
2023-01-29T12:59:55Z,S2,P15,ENTER,
2023-01-29T13:00:42Z,S4,P7,EXIT,
2023-01-29T13:00:42Z,S1,P18,ENTER,
2023-01-29T13:00:42Z,S4,P11,ENTER,
2023-01-29T13:01:03Z,S3,P13,EXIT,
2023-01-29T13:01:03Z,S3,P12,ENTER,
2023-01-29T13:01:34Z,S1,P18,EXIT,
2023-01-29T13:02:15Z,S4,P11,EXIT,
2023-01-29T13:02:15Z,S1,P19,ENTER,
2023-01-29T13:02:15Z,S4,P6,ENTER,
2023-01-29T13:03:03Z,S1,P19,EXIT,
2023-01-29T13:03:16Z,S2,P15,EXIT,
2023-01-29T13:03:16Z,S2,P17,ENTER,
2023-01-29T13:03:21Z,S3,P12,EXIT,
2023-01-29T13:03:21Z,S3,P16,ENTER,
2023-01-29T13:03:55Z,S4,P6,EXIT,
2023-01-29T13:03:55Z,S1,P20,ENTER,
2023-01-29T13:03:55Z,S4,P14,ENTER,
2023-01-29T13:04:48Z,S2,P17,EXIT,
2023-01-29T13:04:48Z,S2,P19,ENTER,
2023-01-29T13:04:50Z,S4,P14,EXIT,
2023-01-29T13:04:50Z,S1,P21,ENTER,
2023-01-29T13:04:50Z,S4,P13,ENTER,
2023-01-29T13:05:50Z,S3,P16,EXIT,
2023-01-29T13:05:50Z,S3,P18,ENTER,
2023-01-29T13:05:52Z,S1,P20,EXIT,
2023-01-29T13:06:01Z,S1,P21,EXIT,
2023-01-29T13:06:47Z,S4,P13,EXIT,
2023-01-29T13:06:47Z,S1,P22,ENTER,
2023-01-29T13:06:47Z,S4,P15,ENTER,
2023-01-29T13:07:09Z,S4,P15,EXIT,
2023-01-29T13:07:09Z,S1,P23,ENTER,
2023-01-29T13:07:09Z,S4,P12,ENTER,
2023-01-29T13:07:31Z,S2,P19,EXIT,
2023-01-29T13:07:31Z,S2,P20,ENTER,
2023-01-29T13:07:33Z,S3,P18,EXIT,
2023-01-29T13:07:55Z,S1,P22,EXIT,
2023-01-29T13:08:32Z,S1,P23,EXIT,
2023-01-29T13:09:28Z,S4,P12,EXIT,
